2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    KogMaw       55.14%   1937
    Kennen       54.63%    670
    Kayle        54.56%    757
    Riven        53.37%    341
    Cassiopeia   53.31%   1403
    RekSai       53.31%    816
    TahmKench    53.29%   3113
    Yorick       52.88%   1110
    Nilah        52.51%   1710
    Warwick      52.45%   5462
    Viktor       52.36%   7791
    MonkeyKing   52.08%   3865
    AurelionSol  52.02%   2776
    Anivia       51.99%   2185
    Fizz         51.93%   4410
    Nami         51.87%   6430
    Amumu        51.81%   4152
    Rammus       51.74%   1950
    Nocturne     51.66%   7919
    JarvanIV     51.64%   5989
    Renekton     51.62%    554
    Malzahar     51.62%   6515
    Annie        51.58%   2790
    Fiddlesticks 51.54%   3205
    Elise        51.49%   3432
    Lulu         51.48%   8687
    Volibear     51.46%   3628
    Mordekaiser  51.44%   1252
    Morgana      51.40%   7531
    Maokai       51.23%   2551
    Shen         51.20%   1297
    Jinx         51.18%  15994
    Diana        51.14%   9672
    Galio        51.11%   5766
    Khazix       51.06%   6880
    Sivir        51.02%   5143
    Xerath       50.99%   9640
    Olaf         50.97%    310
    Milio        50.96%   3917
    Quinn        50.95%    630
    Swain        50.93%   5142
    Vladimir     50.89%   2963
    Graves       50.81%  10199
    Poppy        50.80%   3435
    Renata       50.78%   1148
    Belveth      50.72%   1392
    Sion         50.70%   1067
    Zyra         50.68%   4982
    Brand        50.63%   6147
    Rell         50.60%   3423
    Neeko        50.58%   3549
    Naafiri      50.58%   4518
    Vex          50.57%   3500
    Lissandra    50.56%   2876
    Vayne        50.55%   6135
    Teemo        50.51%   3162
    Ekko         50.46%   7439
    TwistedFate  50.41%   5836
    Braum        50.38%   4712
    Veigar       50.34%   6007
    Thresh       50.30%  11675
    Xayah        50.24%   4672
    Leona        50.14%   6394
    Lillia       50.13%   4612
    Syndra       50.13%   4239
    Janna        50.10%   2020
    Zilean       50.10%   2050
    Kassadin     50.07%   1460
    Pantheon     50.03%   8345
    Briar        50.00%   3352
    Sona         49.98%   2075
    Ryze         49.97%   2990
    Blitzcrank   49.94%   6085
    Malphite     49.93%   3741
    Senna        49.93%   7781
    Kaisa        49.85%  18266
    Nunu         49.84%   2478
    Ivern        49.82%    857
    Aurora       49.82%   3541
    Lux          49.81%  16856
    Jhin         49.80%  18163
    Evelynn      49.79%   2368
    Samira       49.75%   4752
    Zac          49.75%   3335
    Darius       49.72%   1792
    Aatrox       49.67%  194957
    Trundle      49.63%   2996
    Ashe         49.58%  10591
    Leblanc      49.56%   6417
    Seraphine    49.55%   4315
    Orianna      49.51%   4223
    Hwei         49.50%   5228
    DrMundo      49.44%   1078
    Velkoz       49.39%   3863
    Viego        49.38%  10743
    Sett         49.37%   1187
    MissFortune  49.35%  13105
    Katarina     49.34%   4903
    Bard         49.33%   2244
    Alistar      49.33%   4259
    Karthus      49.32%   2072
    XinZhao      49.32%   5047
    Camille      49.30%    639
    Rakan        49.29%   3313
    Kalista      49.29%   1609
    Kayn         49.26%   7556
    Gnar         49.23%    130
    Vi           49.23%   5785
    Akali        49.22%   7670
    Ahri         49.20%   9868
    Zoe          49.16%   3277
    Zeri         49.15%   3227
    Sejuani      49.05%   2736
    Nautilus     49.04%   8878
    Shyvana      49.03%   1954
    Soraka       48.99%   3305
    Caitlyn      48.95%  18223
    Shaco        48.95%   7561
    Smolder      48.92%   9680
    Karma        48.90%   6977
    Lucian       48.88%  11162
    Gragas       48.87%   2423
    Sylas        48.85%  14545
    Qiyana       48.71%   1712
    Heimerdinger 48.70%   1039
    Kindred      48.67%   3113
    Nasus        48.52%   1214
    LeeSin       48.50%  16937
    Jax          48.46%   2375
    Akshan       48.46%   1397
    Talon        48.44%   3716
    Urgot        48.36%    213
    Hecarim      48.30%   2818
    Chogath      48.26%   1838
    MasterYi     48.26%   7379
    Gangplank    48.22%    394
    Ziggs        48.14%   3230
    Gwen         48.14%   1720
    Pyke         48.10%   6381
    Ezreal       48.06%  19348
    Yasuo        48.05%  10243
    Draven       48.04%   3185
    Tristana     48.01%   7277
    Udyr         47.96%   1691
    Taliyah      47.79%   2515
    Irelia       47.76%   2481
    Taric        47.74%    953
    Aphelios     47.74%   4135
    Corki        47.53%   2647
    Twitch       47.50%   3859
    Varus        47.47%   6768
    Mel          47.40%   8448
    Singed       47.35%    378
    Kled         47.27%    165
    Nidalee      47.16%   4504
    Jayce        46.98%   1207
    Zed          46.66%  10219
    Tryndamere   46.56%    771
    Yuumi        46.49%   5619
    Yone         46.43%   7279
    Azir         46.41%   2887
    Yunara       46.15%   2715
    Rumble       45.89%    767
    Skarner      45.73%   1275
    Illaoi       45.63%    263
    Rengar       45.33%   1745
    Garen        45.11%   1197
    Ambessa      43.44%    633
    Fiora        43.33%    150
    Ornn         42.66%    286
    KSante       39.67%    242


# Ahri
                  win%   matches
    Nilah        54.05%   2074
    Kassadin     53.25%     77
    Sona         52.64%   2637
    Yorick       52.62%   7210
    Taric        52.62%   1338
    Milio        52.57%   4746
    Briar        52.48%   4806
    Sett         52.36%  10676
    KogMaw       52.28%   2194
    Urgot        51.97%   3527
    Bard         51.93%   2727
    Zilean       51.86%   2019
    Zyra         51.85%   5107
    Velkoz       51.75%   3229
    MonkeyKing   51.59%   5629
    Nocturne     51.57%  10141
    MissFortune  51.50%  16240
    Warwick      51.44%  10285
    Kayle        51.42%   3584
    Mordekaiser  51.32%   8325
    Quinn        51.31%   2175
    Naafiri      51.30%   4234
    JarvanIV     51.29%   6295
    Belveth      51.27%   1884
    DrMundo      51.24%   7285
    Maokai       51.23%   3767
    Xerath       51.23%   5196
    Volibear     51.21%   8947
    Khazix       51.14%   6956
    Braum        51.12%   5593
    Janna        51.11%   2518
    Sivir        51.10%   5752
    Chogath      51.04%   5029
    Galio        51.04%   1487
    Annie        51.00%    600
    Diana        51.00%   5010
    Leona        50.98%   7752
    Trundle      50.86%   7173
    Graves       50.82%   8601
    Amumu        50.78%   5286
    Nami         50.76%   8101
    Cassiopeia   50.71%    560
    Garen        50.71%   8561
    Nasus        50.70%   6160
    Elise        50.68%   2942
    Lulu         50.66%   9767
    Jinx         50.66%  18444
    Tryndamere   50.59%   4094
    Sion         50.56%   5134
    Alistar      50.55%   4283
    Renata       50.54%   1294
    Hwei         50.53%   1217
    MasterYi     50.48%   8904
    Illaoi       50.47%   3953
    Ornn         50.46%   3551
    Shyvana      50.45%   2210
    Renekton     50.40%   6449
    Teemo        50.37%   8001
    Fiddlesticks 50.35%   3319
    Brand        50.34%   4770
    Irelia       50.26%   4232
    Caitlyn      50.21%  20681
    Smolder      50.19%   8820
    Morgana      50.19%   8137
    Ryze         50.19%    795
    Malphite     50.16%   7728
    Shen         50.10%   5746
    Olaf         50.10%   2022
    Thresh       50.08%  11985
    Kayn         50.07%  10660
    Rell         50.06%   3915
    XinZhao      50.02%   6472
    Lucian       50.00%  11287
    Samira       49.96%   5644
    Seraphine    49.96%   5376
    Viego        49.95%  13188
    Jhin         49.95%  19761
    Ashe         49.94%  12939
    Shaco        49.92%   8836
    Ahri         49.92%  215585
    Heimerdinger 49.91%   2198
    Lux          49.91%  13860
    Lillia       49.90%   3617
    Kled         49.90%   1491
    Swain        49.88%   5096
    Twitch       49.88%   4846
    Singed       49.87%   1873
    Zoe          49.86%    690
    Vayne        49.83%   8887
    Gwen         49.80%   4259
    Xayah        49.79%   5011
    Soraka       49.77%   3966
    Poppy        49.74%   5050
    Kaisa        49.72%  16770
    Akali        49.68%   1578
    Gnar         49.65%   3466
    TahmKench    49.57%   5701
    Camille      49.57%   3236
    Zac          49.51%   3908
    Tristana     49.50%   8331
    Senna        49.50%   9061
    Zeri         49.44%   3400
    Corki        49.42%   2321
    Fiora        49.41%   3787
    Rakan        49.40%   3668
    Nunu         49.34%   2710
    Syndra       49.33%    375
    Blitzcrank   49.30%   6730
    Nautilus     49.26%  10154
    Rammus       49.26%   2501
    Pantheon     49.26%  11087
    Aatrox       49.20%   9868
    Hecarim      49.14%   3323
    Udyr         49.11%   2710
    Riven        49.08%   3863
    Anivia       49.08%    542
    Malzahar     48.97%    878
    Aphelios     48.96%   4853
    Viktor       48.91%    552
    Ziggs        48.91%   1691
    AurelionSol  48.87%    399
    Sejuani      48.87%   2998
    Yasuo        48.86%   4429
    Jax          48.86%   8676
    TwistedFate  48.81%    717
    Ekko         48.78%   3827
    Darius       48.71%  11207
    Orianna      48.71%    232
    Gangplank    48.70%   3546
    Draven       48.68%   3907
    Karma        48.67%   6762
    Yuumi        48.66%   6174
    Vi           48.65%   9693
    LeeSin       48.65%  16637
    Azir         48.57%    210
    Veigar       48.56%   1596
    RekSai       48.52%   1014
    Yone         48.47%   6961
    Ambessa      48.46%   4402
    Pyke         48.39%   7150
    Leblanc      48.25%   1084
    Jayce        48.16%   5123
    Vladimir     47.95%   1752
    Evelynn      47.94%   2134
    Aurora       47.80%    818
    Taliyah      47.78%    607
    Katarina     47.76%    335
    Talon        47.63%   2698
    Mel          47.63%   4716
    Akshan       47.59%    374
    Nidalee      47.59%   3053
    Varus        47.59%   7445
    Karthus      47.57%   1442
    Kalista      47.56%   1724
    Skarner      47.53%   1683
    Ezreal       47.48%  18103
    Zed          47.22%   4462
    Kennen       47.18%   1598
    Sylas        47.17%   3411
    Kindred      47.07%   3410
    Gragas       47.01%   3433
    Neeko        46.98%   3063
    KSante       46.67%   3833
    Vex          46.58%    322
    Yunara       46.47%   2780
    Rumble       46.25%   1762
    Ivern        46.22%   1019
    Fizz         45.35%    344
    Rengar       45.22%   2417
    Qiyana       43.72%    597
    Lissandra    43.42%    304


# Akali
                  win%   matches
    Milio        53.65%   4352
    Sona         53.46%   2338
    Trundle      52.93%   6424
    Cassiopeia   52.59%    559
    Orianna      52.44%    675
    Briar        52.41%   4625
    Soraka       52.40%   3708
    Sett         52.31%   8864
    Yorick       52.17%   5455
    Nami         52.06%   6835
    KogMaw       52.03%   2020
    Ivern        52.02%    988
    Galio        51.92%   2001
    Warwick      51.77%   9340
    Olaf         51.75%   1511
    Urgot        51.75%   2632
    Amumu        51.75%   4926
    Sivir        51.64%   5314
    Lulu         51.48%   8744
    Heimerdinger 51.39%   1903
    Xerath       51.37%   5311
    Nilah        51.34%   1866
    Lillia       51.34%   3292
    Zilean       51.22%   1878
    Syndra       51.22%    736
    MonkeyKing   51.21%   4966
    Kayle        51.19%   2731
    Chogath      51.11%   3933
    Nocturne     51.09%   9056
    Viktor       51.08%   1153
    Shyvana      51.08%   1985
    Janna        51.05%   2137
    Annie        50.94%    799
    Vayne        50.92%   8142
    Morgana      50.88%   7687
    Volibear     50.87%   7429
    Quinn        50.79%   1843
    Jinx         50.78%  16567
